================================================================================
Title: A constrained dust opacity for models of dense clouds and
    protostellar envelopes 
Authors: Pontoppidan K.M., Evans II N., Bergner J., Yang Y.-L.
================================================================================

    Column information:
        wavelength  micron 
        kabs        cm2.g-1  absorption opacity
        ksca        cm2.g-1  scattering opacity
        gsca        unitless Henyey-Greenstein asymmetry parameter
    
Additional comments: kp5 is an opacity model relevant for dense clouds
    and protostellar envelopes. It was originally used in Chapman et
    al. 2009, ApJ, 690, 496. We also provide a recent, revised
    calculation to benchmark the original kp5 model. Either model may
    be used for radiative transfer calculations.  

================================================================================
1.000000000000000056e-01 4.467150779176343349e+04 2.527974778578569021e+04 8.074882245341499232e-01
1.000990999999999964e-01 4.459896922486736730e+04 2.528632018095839885e+04 8.075952150492666792e-01
1.001983000000000040e-01 4.452660837843493937e+04 2.529301149765917944e+04 8.076999861768581201e-01
1.002976000000000006e-01 4.445444061399274506e+04 2.529981001249997280e+04 8.078024206526732698e-01
1.003970000000000001e-01 4.438245996104594087e+04 2.530672639110656382e+04 8.079025425035638586e-01
1.004965000000000025e-01 4.431067454337586241e+04 2.531374972704453830e+04 8.080004883037725794e-01
1.005960000000000049e-01 4.423907695900301042e+04 2.532088985464673897e+04 8.080961409343287993e-01
1.006956999999999991e-01 4.416767170911130233e+04 2.532813676482265146e+04 8.081894937770763843e-01
1.007954999999999962e-01 4.409649958973174216e+04 2.533573801406652274e+04 8.082813554522840782e-01
1.008953999999999962e-01 4.402554973214870552e+04 2.534356861324651254e+04 8.083711707740084407e-01
1.009953999999999991e-01 4.395478043559902289e+04 2.535150587028785594e+04 8.084588886937287278e-01
1.010954000000000019e-01 4.388421932048763847e+04 2.535955926178791560e+04 8.085443413055356521e-01
1.011955999999999967e-01 4.381385968360112747e+04 2.536772707153288138e+04 8.086275685261361534e-01
1.012958999999999943e-01 4.374273895625078876e+04 2.537594796599213078e+04 8.087199245527613156e-01
1.013962999999999948e-01 4.367174753172205965e+04 2.538427274601424870e+04 8.088104531359308069e-01
1.014967999999999981e-01 4.360093873815341067e+04 2.539271360673646996e+04 8.088985685658292013e-01
1.015973000000000015e-01 4.353031570020316576e+04 2.540126984517916571e+04 8.089843168958791297e-01
1.016979999999999967e-01 4.345988075942189607e+04 2.540994280276073550e+04 8.090677521064992828e-01
1.017987999999999948e-01 4.338963728888137848e+04 2.541872041311373687e+04 8.091488624788789608e-01
1.018996999999999958e-01 4.331957788317155791e+04 2.542761385784521190e+04 8.092276745530530002e-01
1.020005999999999968e-01 4.324970874215391086e+04 2.543661123651153684e+04 8.093041681033479318e-01
1.021017000000000036e-01 4.318003858140350349e+04 2.544572352983096062e+04 8.093784433071549156e-01
